name,lifespan,weight,lap_cat,intelligence,ease_of_training,grooming_requirements,shedding,good_with_children,good_with_dogs,chattiness,history,behavior,look,grooming,nutritrional_needs,fun_facts
American Curl,15 - 18 years,5 - 10 pounds,4,3,3,3,3,2,2,1,"A stray longhaired black female cat with funny-shaped ears won over Joe and Grace Ruga in Lakewood, California in 1981. They adopted this cat and named her Shulamith. Six months later, this cat gave birth to kittens with unusually curled ears. Shulamith represents the foundation female for the entire American Curl breed, which originated as a result of spontaneous mutation. Selective breeding of American Curls began in earnest in 1983. After studying 81 litters (383 kittens), British feline geneticist Roy Robinson reported that ear-curling gene is autosomal dominant (a term that means that any cat with even one copy of the gene will display this ear-curling trait). The American Curl was first exhibited at a Cat Fanciers Association (CFA) show in Palm Springs, California in late 1983. The CFA first approved the American Curl for registration in 1986 and granted this breed championship status in 1993.","Despite its sophisticated, elegant look, the American Curl is down-to-earth. This breed has a reputation for being loyal, affectionate and adaptable to new household situations. It is cuddly but never clingy. The American Curl welcomes the company of other pets, including dogs plus people of all ages, including children. This breed defies the popular myth that cats hate water because it will try to join you in the shower. Put the spotlight on this cat. If you don't pay enough attention, your American Curl is likely to strike an adorable pose right in front of the television set. This breed is definitely an early riser and has been known to deliver wakeup calls through nose kisses, head bumping and hair licking of their owners. Capable of learning how to fetch and other games, this breed is not as energetic or active as say, Abyssinians or Siamese.","Despite its sophisticated, elegant look, the American Curl is down-to-earth. This breed has a reputation for being loyal, affectionate and adaptable to new household situations. It is cuddly but never clingy. The American Curl welcomes the company of other pets, including dogs plus people of all ages, including children. This breed defies the popular myth that cats hate water because it will try to join you in the shower. Put the spotlight on this cat. If you don't pay enough attention, your American Curl is likely to strike an adorable pose right in front of the television set. This breed is definitely an early riser and has been known to deliver wakeup calls through nose kisses, head bumping and hair licking of their owners. Capable of learning how to fetch and other games, this breed is not as energetic or active as say, Abyssinians or Siamese.",Even the longhaired version needs minimal grooming - once-a-weekly brushing should suffice. You can also use a steel comb weekly to lift out loose hairs and prevent matting.,"Please consult with your veterinarian about the type of diet and amount to feed your cat during their different life stages.  Different breeds may have a greater risk of obesity based upon their diet, metabloism, activity and age.  Thus, your veterinarian is your best source of information on this topic.","The American Curl is affectionately nicknamed the ""feline flying nun"" as well as the ""Peter Pan of felines"" for its kitten-like attitude that remains throughout adulthood. Although American-born, this rare breed is sought by cat fans living all over the world, especially in Russia, Japan, France and Spain."
Abyssinian,12 - 15 years,8 - 10 pounds,2,5,4,2,2,3,4,4,"Hailed as one of the oldest known cat breeds, dating back to ancient Egypt 4,000 years ago. Mummified cats in Egyptian tombs discovered by modern archeologists bear similar looks to today's Abyssinian. In 1868, after Great Britain defeated Abyssinia (now Ethiopia) in the Abyssinian War, a British soldier returned home with a kitten named Zula who is regarded as the grand dame of all modern Abyssinians. The first Abys to reach North America arrived in the early 1900s, but did not begin to become popular until the 1930s. Today, the Aby ranks among the top five most popular breeds as recognized by the Cat Fanciers Association and The International Cat Association.","Athletic and attention-seeking, the Abyssinian loves to master tricks for people. Studies the actions of people and learns. Fast and agile, capable of soaring 6 feet in the air. Enjoys perching on shoulders as well as tall shelves and other high places. Game for playtime, preferring being active over roosting in a lap. Highly curious, the Aby can use its paws to open cabinet doors and turn on light switches. Loyal and affectionate, but demanding. Easily bored. Needs interaction and home-alone toys. Requires you to keep breakables out of paw's reach. Needs suitable exercise outlets like floor-to-ceiling scratching posts and wand toys to stalk. Welcome the company of friendly dogs. Great student for clicker training.","Body is long, lean and muscular on fine-boned, long legs. Wedge-shaped head, expressive almond-shaped eyes and oversized pointed ears and tabby ""M"" on the forehead. Coat sports a ticked or agouti pattern highlighted by alternating bands of color on the hair shafts that give off a translucent quality.","Shorthaired coat is thick and dense. Top four coat colors are ruddy, red, blue and fawn. Requires once-a-week brushing.","Usually can be ""free fed"" cause they are so active and burn off excess calories. Rarely have a tendency to become overweight. Serve high-protein diet that contains fatty acids to keep coat shiny and healthy.","Nicknamed the ""Runway models of the feline world."" Also called the ""Clown of the Cat Kingdom."" A pair of Abys named Amber and Rumpler shared the role of Jake, the stranded alien cat in The Cat From Outer Space, the 1978 Disney movie. Actor Ronnie Schell did the voice of Jake."
American Shorthair,15 - 20 years,8 - 12 pounds,4,4,3,3,3,4,4,1,"Accompanied Europeans sailing across the Atlantic Ocean to settle in the New World in the early 1600s to protect valuable cargo from mice and rats. Some records indicated that this breed came over on the Mayflower with Pilgrims. During the California Gold Rush, pioneers brought this breed with them to control the rodent population in their new homesteads. According to CFA records, a brown tabby American Shorthair was offered for sale for $2,500 at the Second Annual Cat Show at Madison Square Garden in 1896. Selected as among the first five registered breeds by the CFA in 1906. Originally called the Domestic Shorthair, but was renamed to American Shorthair in 1966.","Extremely smart and even tempered. Not very chatty, preferring to chirp or make sweet squeak sounds. Very athletic. Once touted as the all-American mouser, this breed prefers now to follow its favorite people from room to room . Favors walking on its own over being picked up and cradled. Behaves gently around children. Lovable but not clingy.","Strong, hardy breed of medium to large build. Dense coat is designed to weather the cold and shield against superficial skin injuries. Head features full cheeks, large, wide-set eyes, powerful jaws, round-tipped ears and square muzzle. Eyes are golden or green. Comes in more than 80 different colors and patterns, ranging from brown-patched to silver tabby. Sports a sight pouch and loose skin, designed for protection when hunting.",Sports an easy-to-care-for short but thick coat that requires weekly combing and brushing. Coat has a textured feel to it.,"Due to their moderate activity level, measure food portions to reduce the risk of this cat from becoming overweight.",Its strong and powerful jaws make it one of the most feared felines among mice and other rodents. Famous American Shorthair named Pepper once belonged to John Lennon of the Beatles.
American Bobtail,15 - 20 years,11 - 20 pounds,5,4,4,3,3,5,5,2,"This American-born breed was created in the late 1960s, but the specifics remain unclear. One popular theory centers around an Iowa couple named John and Brenda Sanders on a vacation in Arizona in the late 1960s. There, they found and kept a bobtailed cat named Yodi wandering on an Indian reservation. This cat was mated with a long-tailed female named Mishi. Yodi and Mishi produced several litters with bobbed tails. The CFA first approved the American Bobtail for registration in 2000 and for provisional status in 2005.","Capable of being able to leap six feet in the air due to its strong hind legs. Welcomes the companionship of all, including children, cats and dogs. Loves to love and be loved. Masters walking on a leash easily and enjoys taking a neighborhood stroll with you as well as fetching tossed paper wads. Guilty of being a true cat burglar, so keep jewelry and other shiny objects out of paws reach. Highly touted for being an ideal therapy cat to visit nursing homes, hospitals and schools to spread cheer. Craves interaction and often beats you to the door to greet guests or may even go to the phone when it rings. Not very chatty. Tends to converse by chirping and trilling rather than meowing loudly.","Capable of being able to leap six feet in the air due to its strong hind legs. Welcomes the companionship of all, including children, cats and dogs. Loves to love and be loved. Masters walking on a leash easily and enjoys taking a neighborhood stroll with you as well as fetching tossed paper wads. Guilty of being a true cat burglar, so keep jewelry and other shiny objects out of paws reach. Highly touted for being an ideal therapy cat to visit nursing homes, hospitals and schools to spread cheer. Craves interaction and often beats you to the door to greet guests or may even go to the phone when it rings. Not very chatty. Tends to converse by chirping and trilling rather than meowing loudly.",Weekly brushing is advised to keep the longhaired versions free of matted fur. The medium-haired varieties benefit by twice-a-month brushings.,"Please consult with your veterinarian about the type of diet and amount to feed your cat during their different life stages.  Different breeds may have a greater risk of obesity based upon their diet, metabloism, activity and age.  Thus, your veterinarian is your best source of information on this topic.","The American Bobtail is touted for wagging its tail like a dog when happy. Great cat choice for cross-country truck drivers and recreational vehicle travelers looking for a willing co-pilot to join them on their treks. Nicknamed the ""Golden Retriever of the Cat World."""
Bombay,12 - 15 years,6 - 11 pounds,4,4,4,2,2,4,4,3,"This breed was created not in India, but in Louisville, Kentucky in 1958 when cat breeder Nikki Horner carefully bred a Burmese with an American Shorthair to create a domesticated cat that looks like a small black panther. The CFA, granted this breed championship status in 1976.","The Bombay is generally friendly to strangers, so don't be startled if he beats you to the door to greet houseguests. In interacting with you, the Bombay may make it challenging for you to try to read the newspaper or watch your favorite television show without interruption. This is definitely an ""in-your-face' breed. Possessing an easy-going attitude and active approach to life, the Bombay can be easily leash trained, engage in a game of fetch, and happily co-exist with dogs and other pets in the household. Likes to chat, but not as vocal as a Siamese.","The Bombay is generally friendly to strangers, so don't be startled if he beats you to the door to greet houseguests. In interacting with you, the Bombay may make it challenging for you to try to read the newspaper or watch your favorite television show without interruption. This is definitely an ""in-your-face' breed. Possessing an easy-going attitude and active approach to life, the Bombay can be easily leash trained, engage in a game of fetch, and happily co-exist with dogs and other pets in the household. Likes to chat, but not as vocal as a Siamese.","The Bombay's no-fuss coat does not require grooming, but this cat will welcome the attention you give it by brushing or running a damp washcloth across its coat. This breed is not prone to developing matts in its coat.","Please consult with your veterinarian about the type of diet and amount to feed your cat during their different life stages.  Different breeds may have a greater risk of obesity based upon their diet, metabloism, activity and age.  Thus, your veterinarian is your best source of information on this topic.","A popular remark among fans of this breed is if you are searching for a pet with the qualities of a dog, cat and monkey, your best bet is to get a Bombay. The Bombay is also fondly known by these nicknames: ""Parlor panther"" and ""patent leather kid with the copper penny eyes."" The Bombay owns bragging rights of being the blackest cat among all purebreds."
Balinese,15 - 20 years,5 - 8 pounds,3,4,4,1,1,4,4,3,"This breed is actually a longhaired version of the Siamese, created as the result of a spontaneous mutation when longhaired kittens were born to a Siamese in the 1940s in California. In the mid 1950s, Siamese breeders Helen Smith of New York and Marion Dorsey of California worked together to begin breeding to produce longhaired Siamese now recognized as Balinese. They selected the name ""Balinese"" due to this longhaired breed's beauty and grace. Today, two versions exist: traditional and contemporary. Traditional look more like Ragdolls and are bigger with longer hair while the contemporary look more like Siamese and are the only types recognized by cat judges. The Cat Fanciers Association granted recognized the Balinese in 1970.","If you want a toned-down version of the ever energetic and intelligent Siamese, then a Balinese is a good choice. Balinese are very adaptable and do well in active households with other pets. They crave social interaction, but will not be overly demanding. Offer this breed plenty of high spots to survey the scene. Favorite Balinese picks are the tops of refrigerators, high shelves and the top level of a tall cat tree. Balinese are balanced in their need for play and cuddle times. They are considered to be among the smartest of all cat breeds and easily learn new tricks when taught in a positive reinforcement manner.","If you want a toned-down version of the ever energetic and intelligent Siamese, then a Balinese is a good choice. Balinese are very adaptable and do well in active households with other pets. They crave social interaction, but will not be overly demanding. Offer this breed plenty of high spots to survey the scene. Favorite Balinese picks are the tops of refrigerators, high shelves and the top level of a tall cat tree. Balinese are balanced in their need for play and cuddle times. They are considered to be among the smartest of all cat breeds and easily learn new tricks when taught in a positive reinforcement manner.","The single, silky coat is virtually maintenance-free, but benefits by having you run a damp washcloth across it occasionally. Minimal shedding with no matting problems.","Please consult with your veterinarian about the type of diet and amount to feed your cat during their different life stages.  Different breeds may have a greater risk of obesity based upon their diet, metabloism, activity and age.  Thus, your veterinarian is your best source of information on this topic.","The Balinese can come in many color points, but the CFA only recognizes these four: seal point, blue point, chocolate point and lilac point. Balinese pride themselves on their manners and do their best to deftly avoid knocking over objects while prowling on high shelves."
Bengal,12 - 15 years,6 - 12 pounds,1,5,3,1,2,3,4,5,"A hybrid breed, created by crossing the Asian Leopard Cat with a domestic cat, such as an Abyssinian, American Shorthair, Burmese or Egyptian Mau. Japan is the first country to welcome Bengals as family cats in the 1940s. Bengals are recognized as a breed by The International Cat Association (TICA) - providing the show cats are at least a fourth-generation descendant of the wild Asian Leopard Cat-domestic cat crossing. However, the Cat Fanciers Association does not accept the Bengal as a breed for show competition. With the ""pet leopard"" appearance, the Bengal is zooming up the popularity charts, ranking first in TICA, far ahead of runner-up Ragdoll. More than 60,000 Bengals are registered with TICA. The International Bengal Cat Society and TICA work hard to maintain the Bengal's ""wild"" look with a ""tame"" personality.",Highly active and full of energy. Extremely alert and attentive. They watch and learn from people on how to open doors and cabinets and other behaviors. Look up because most Bengals love to survey their surroundings perched on high shelves and tops of refrigerators. Very demanding. They want and need interaction with people and pets in the household. Potential challenging temperament. Experienced cat owners can channel the Bengal's energy and intelligence into productive play and basic obedience commands. Be aware that some Bengals make growling sounds when they eat.,"Sleek, muscular body. Wild exotic looks, sporting 13 different color coats, including brown tabby and seal lynx point. Coat patterns are spotted or marbled. Wedge-shaped head, almond eyes, wide nose, strong chin and rounded-tipped ears. Distinctive ""prowl-like"" walk due to the fact that the Bengal's back legs are slightly longer than the front legs. Bengals grow slow, taking up to two years before reaching physical maturity.",Coat is short to medium in length. Coat offers a silky feel. Medium shedding,Their high-activity level enables them to burn off excess calories and maintain a healthy weight.,"A true cat burglar, Bengals like to steal shiny household objects and hide them. Bengals rank among the most expensive cat breeds. A show-quality Bengal can cost around $2,000. Bengals love to fetch, play in water bowls and walk on leashes."
Burmese,15 - 20 years,8 - 12 pounds,3,4,3,1,2,4,4,4,"Breed began in 1930 in San Francisco when Dr. Joseph Thompson brought home a walnut-brown female cat he named Wong Mau from Burma and selectively bred her with Siamese males. Breed quickly grew in popularity, but hybrid versions began showing up in cat shows. In response, the Cat Fanciers Association withdrew its recognition of the Burmese in 1947. With pure Burmese lines re-established, the CFA granted championship status in 1957.","Thoroughly enjoys games of fetch, acting like a feline Labrador retriever. Maintains kitten-like energy well into adulthood. Highly intelligent and opinionated and can be stubborn at times. Welcomes the company of children, other cats and dogs. Loves to learn tricks as well as occupy laps. Consider getting two Burmese cats if you work long hours and are away from home because this breed does not like being left alone. Provide toys, scratching posts and sturdy high perches to occupy this breed, especially when left home alone. Can be overly trusting, so supervise this breed outdoors. Enjoys engaging in conversation.","Sports a short, satin-to-the-touch coat that comes in sable, champagne, blue, platinum, lilac, fawn, red, cream, chocolate, cinnamon and tortoiseshell patterns. Conveys a look of innocence with its giant, expressive round eyes that are green or golden. Round-shaped Body is medium build, muscular, stocky and sturdy.",Requires very little grooming - just stroking the coat daily with your hand will maintain its healthy shine.,"Noted for being hearty eaters and prone to being overweight, so measure daily food portions.",Not unusual for Burmese to sleep on their backs. Seven cat breed registries accept this popular breed.
Birman,15 - 20 years,6 - 15 pounds,5,3,3,2,2,3,5,1,"Originated in western Burma, but the circumstances remain unclear. One popular belief touts that these cats served as feline companions for Kittah priests. When bandits fatally injured a high priest while attempting to steel a golden statute of blue-eyed goddess Tsun-Kyan-Kse, his loyal Birman, Sinh, stayed by his side as he was dying. Sinh's fur was turned golden like the goddess and his eyes turned blue. His paws were turned to pure white to symbolize his devotion to his dying priest. The breed arrived in France around 1919 and the first Birmans came to the United States in 1959. Birman breeders name their kittens born in a specific year with the same letter of the alphabet. This naming convention makes it easier to determine the age of a Birman. For instance, all Birman kittens born in 2007 in the United States are registered with names beginning with the letter, ""E."" Accepted by the Cat Fanciers Association in 1967 and attained championship status in 1972. All major cat breed registries now recognize this popular breed.","Speaks in soft tones. Welcomes being part of a multi-species pack in the household. Seeks your company in a sweet, quiet manner. Gentle, playful and inquisitive. Learn commands and tricks easily. Does better with another cat or pet in the house when owners are at work. Not noted for climbing counters or hanging out on high shelves.","Large, cobby-shaped body with medium to long silky hair that doesn't mat. Features a body that is golden or eggshell in color with darker points displayed on the face, legs and tail. Points come in such colors as seal, blue, chocolate and lilac. The eyes are round and always deep blue and the ears are small. The head is round. All four paws are always white and called gloves. It is genetically unclear why this occurs with such consistency.",Its silky coat lacks an undercoat and mimics the feel of rabbit fur. Comb through the coat once or twice a week to keep looking healthy.,"To prevent this breed from becoming overweight, measure food portions and feed two or three small meals daily.","According to popular legend, it is said that when a Birman cat dies, the soul of a priest chaperones the feline up to heaven. All Birman kittens are born all white and gradually develop colors and points with the final colors established by age 2. Easily mistaken for a longhaired Siamese or Ragdoll."
British Shorthair,15 - 20 years,6 - 12 pounds,3,3,2,4,3,3,3,1,"As its name implies, it originated in Great Britain, but earlier reports indicate they were descendents of domestic cats with wild native cats during the days of ancient Rome. In 1871, a 14-year-old British Shorthair captured Best in Show at the first formal cat show held at the Crystal Palace in London. First arrived in the United States at the turn of the 20 th Century. The breed's popularity waned during World War I, but has steadily regained is appeal ever since. Accepted by both the Cat Fanciers Association and The International Cat Association. Achieved championship status by the CFA in 1980.","Affectionate in a dignified manner. Love to leap on laps, but tend to leave because their thick coats combined with your body heat makes them get overheated Smart, loyal and a bit reserved. Exhibits quiet confidence. Not noted for its speed or agility, but delights people with its comical nature. Well-behaved and easy going, ideally suited for apartment living. Best suited for indoor living. Supervise them when outdoors because their docile nature makes them ill-suited against fights from raccoons, coyotes or other predators.","Trademark color is blue with a tinge of gray but also comes in more than 30 different colors and patterns. The coat breaks over the body's contours, often described as crisp or cracking. Muscular, well portioned in medium to large frames. Round is the key word to describe this breed as it sports round faces, eyes and ears. Thick necks, broad chests, medium-sized legs and rounded paws with a tail thick at the base. Takes up to five years to reach physical maturity.","Thick, plush coat feels surprisingly velvet to the touch. Run a comb through its coat at least weekly to keep it mat-free and looking healthy. Fares best when you use basic metal or curry combs. Be sure to brush the coat especially during seasonal shedding times.","Not prone to any diet-related medical condition. Due to its size and relative moderate activity level, measure food portions to prevent this breed from becoming overweight.","Author Lewis Carroll immortalized the British Shorthair's ""Cheshire-cat like smile"" in his classic, Alice in Wonderland. Reported to have more fur per square inch than any other cat breed."
